1,2,3,4,5,6,7,8,9,10,11,12
75.9578,22.1196,13.5169,0,T-H,0.0,0.0,36.1978,11.4452,9.96,5574.0,34.0
66.5498,20.2123,15.5439,0,T-H,0.0,0.0,33.9867,11.3734,10.5659,5536.0,34.0
85.7034,22.4284,18.3619,0,T-H,0.0,0.0,36.3898,12.4242,10.8274,5536.0,34.0
87.0288,22.4284,18.2407,0,T-H,0.0,0.0,36.8392,12.1922,10.8321,5536.0,34.0
87.2139,22.4284,18.2407,0,T-H,0.0,0.0,36.8392,12.1922,10.4981,5536.0,34.0
87.9558,22.4284,18.5276,0,T-H,0.0,0.0,38.3485,12.1922,10.2888,5546.0,34.0
86.429,21.034,19.7223,0,T-H,0.0,0.0,39.9545,12.1922,10.3944,5546.0,34.0
85.5023,19.0658,19.7223,0,T-H,0.0,0.0,40.143,12.1922,10.9746,5546.0,34.0
101.4569,22.2788,21.7239,0,T-H,0.0,0.0,39.9303,13.0309,10.6275,5546.0,34.0
111.2485,25.9004,22.4195,0,T-H,0.0,0.0,40.9305,14.0026,10.3159,5545.0,34.0
117.3724,28.4197,24.1036,0,T-H,0.0,0.0,41.1828,14.2558,10.1396,5545.0,34.0
129.9572,33.1325,26.5701,0,T-H,0.0,0.0,43.838,15.9566,10.3791,5545.0,34.0
135.9948,35.1649,27.3202,0,T-H,0.0,0.0,45.0513,16.7675,10.4282,5545.0,34.0
140.3962,38.5841,25.801,0,T-H,0.0,0.0,44.48,16.9051,10.2899,5504.0,34.0
140.4249,39.0198,26.8482,0,T-H,0.0,0.0,43.3903,17.126,10.5313,5504.0,34.0
142.0359,42.069,24.5903,0,T-H,0.0,0.0,38.4502,14.7291,10.971,5531.0,34.0
142.0359,42.401,23.9293,0,T-H,0.0,0.0,39.1155,15.0277,10.94,5531.0,34.0
142.4657,42.5838,23.0337,0,T-H,0.0,0.0,36.6908,13.8329,10.9129,5556.0,34.0
145.0381,43.4712,22.4961,0,T-H,0.0,0.0,36.2073,13.1924,11.0045,5556.0,34.0
147.6881,42.9827,22.4961,0,T-H,0.0,0.0,36.6721,13.1924,11.0045,5556.0,34.0
150.1298,43.7552,23.6049,0,T-H,0.0,0.0,35.5593,13.0359,11.142,5575.0,34.0
159.6268,44.671,25.3831,0,T-H,0.0,0.0,38.5348,13.2843,11.3002,5575.0,34.0
162.9115,44.9787,25.689,0,T-H,0.0,0.0,39.0041,13.3395,11.1736,5575.0,34.0
165.6051,45.5573,25.7347,0,T-H,0.0,0.0,39.1093,13.4493,10.965,5499.0,34.0
170.8302,45.8029,25.4689,0,T-H,0.0,0.0,41.6948,13.9782,10.7087,5499.0,34.0
170.8302,45.3113,26.142,0,T-H,0.0,0.0,41.3593,13.3702,10.8919,5499.0,34.0
170.3313,43.0602,25.2788,0,T-H,0.0,0.0,43.0421,13.4893,10.8034,5505.0,34.0
156.5119,39.0949,23.6169,0,T-H,0.0,0.0,41.0023,12.9677,9.9009,5505.0,34.0
129.3216,34.067,17.9349,0,T-H,0.0,0.0,34.4199,10.3879,7.5094,5505.0,34.0
110.2542,29.2472,14.8415,0,T-H,0.0,0.0,29.4898,8.9798,6.6759,5509.0,34.0
92.5004,25.4676,12.3811,0,T-H,0.0,0.0,25.4466,8.2275,5.9669,5509.0,34.0
39.2838,12.9582,5.856,0,T-H,0.0,0.0,12.0351,5.0134,3.2704,5509.0,34.0
23.6382,8.7869,4.3997,0,T-H,0.0,0.0,8.1337,3.9228,2.6163,5505.0,34.0
7.6572,4.8582,4.5823,0,T-H,0.0,0.0,4.1202,3.0692,2.545,5505.0,32.0
5.2289,4.2965,3.6416,0,T-H,0.0,0.0,2.5033,2.4719,2.0002,5505.0,32.0
4.5498,3.602,3.1836,0,T-H,0.0,0.0,2.3821,2.0538,1.7057,5505.0,32.0
4.0292,3.602,2.7726,0,T-H,0.0,0.0,2.1139,1.8898,1.4104,5505.0,32.0
3.5805,3.1177,2.6765,0,T-H,0.0,0.0,1.9602,1.6546,1.315,5503.0,32.0
2.9602,2.9899,2.6765,0,T-H,0.0,0.0,1.7047,1.6029,1.315,5503.0,32.0
2.7382,3.0102,2.4695,0,T-H,0.0,0.0,1.5859,1.6353,1.2776,5503.0,32.0
2.4414,2.531,2.5925,0,T-H,0.0,0.0,1.3178,1.4606,1.2244,5503.0,32.0
2.1749,2.5312,2.5679,0,T-H,0.0,0.0,1.1725,1.4636,1.2095,5504.0,32.0
